SMILES,1A2,2C9,2C19,2D6,3A4
C/C1=C/C[C@@H](/C(C)=C/c2csc(C)n2)OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@@H](O)[C@@H](C)/C=C/C1,,,,,0.0
O=C(/C=C/c1ccc(O)c(O)c1)OC1C[C@@](O)(C(=O)O)CC(O)C1OC(=O)/C=C/c1ccc(O)c(O)c1,0.0,0.0,0.0,0.0,0.0
c1ccc2c(CCC3CCNCC3)c[nH]c2c1,0.0,,,,1.0
O=C(O)CN1C(=O)c2cccc3cccc(c23)C1=O,,,,0.0,
O=C(N[C@H](/C=C/S(=O)(=O)c1ccccc1)CCc1ccccc1)[C@H](Cc1ccccc1)NC(=O)N1CCOCC1,,,,,1.0
NC(=O)NC1NC(=O)NC1=O,,0.0,,,0.0
C=C1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,,0.0,,0.0,1.0
CC(C)=CCC/C(C)=C\COC(=O)C(C)C,0.0,0.0,0.0,0.0,0.0
NCc1ccc(C(=O)N2CCC3(CC2)N=C(N)c2c(F)cccc2N3)cc1,,,,,0.0
CO[C@@H](C(O)=N[C@H]1CC[C@@H](O)CN=C1O)[C@H](O)[C@@H](O)[C@H](O)/C=C/C(C)(C)C,,,,0.0,0.0
Cn1cnc(CC(N)C(=O)O)c1,0.0,0.0,0.0,0.0,0.0
OC1(CN2CCC(COc3noc4cccc(O[C@@H]5CCOC5)c34)CC2)CCOCC1,,,0.0,,0.0
C=CCN(C)CCCCCCOc1ccc2c(-c3ccc(Br)cc3)nn(C)c2c1,,,,,0.0
C[C@@H]1CN(CC2(C(N)=O)CC2)CCN1S(=O)(=O)c1ccc([C@](C)(O)C(F)(F)F)cc1,,,0.0,,
O=c1ccc2nc3ccc(OCc4ccccc4)cc3oc-2c1,1.0,,,1.0,1.0
O=C(CN1[C@@H](O)C(NCCc2ccccn2)=NC[C@H]1Cl)NCc1csc2ccc(Cl)cc12,,,,0.0,
