SMILES,2C19
CC(C)=CCC[C@]1(C)C(CC=C(C)C)C[C@]2(CC=C(C)C)C(=O)[C@@]1(C(=O)C(C)C)C(=O)C1=C2OC(C)(C)C=C1,0.0
CC(C)(C(=O)O)C1CC[C@@]23CC(CCC2[C@]1(C)CC(=O)O)[C@]1(C)OC13,0.0
C=COC(C)=O,0.0
COc1ccc2[nH]cc(CCN(C(C)C)C(C)C)c2c1,1.0
Nc1nc2c(c(=O)[nH]1)NC(CNc1ccc(C(=O)NC(CCC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)cc1)CN2,0.0
COc1cc(CNC(=O)CCCC/C=C\C(C)C)ccc1O,0.0
CCCCCC(=O)OCC(C)C,0.0
Cc1cc(CCCOc2c(C)cc(-n3nnc(C)n3)cc2C)on1,0.0
NCCCCCCNS(=O)(=O)c1cccc2c(Cl)cccc12,0.0
C/C=C/C=C/C=C/CC/C=C/C=C/C(=O)NCC(C)C,0.0
CC(C)C[C@H](N(C)C)C1(c2ccc(Cl)cc2)CCC1,1.0
C=C(C)C1CC=C(C)C(O)C1,0.0
CCCc1c(OCCCOc2ccc(OCC(=O)O)cc2)ccc(C(C)=O)c1O,0.0
CN1CCN(C(=O)O[C@@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,1.0
CCO[P@@](=O)(O)OP(=O)(O)O,0.0
CC(=O)c1ccc2ccccc2c1,0.0
O=C1Nc2ccccc2OC1OC1OC(CO)C(O)C(O)C1O,0.0
CN1C(=O)CC(=O)N(c2ccc(O)cc2)c2cc(Cl)ccc21,1.0
O=C(O)CC/C(=N\O)C(=O)O,0.0
CC/C=C/C/C=C/C/C=C/C/C=C/C/C=C/C/C=C/CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,0.0
CC(C)(C)c1onc(OCP(=O)(O)O)c1C[C@H](N)C(=O)O,0.0
CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,1.0
CN(C)CCOC(c1ccccc1)c1ccccc1,1.0
O=C(O)CNC(=O)C1CCCN1,0.0
O=C(O)C(Cc1ccccc1)NC(=O)C1CCCN1,0.0
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,1.0
CC(C)C(C)/C=C/C(C)C1CCC2C3=CC(O)[C@@]4(O)CC(OC5OC(CO)C(O)C(O)C5O)CC[C@]4(C)C3CC[C@]21C,0.0
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,1.0
CC1C(=O)CC2CC1C2(C)C,0.0
NC(Cc1ccc(O)c(Cl)c1)C(=O)O,0.0
CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2,0.0
CC1(C)CC(O)[C@]2(C)CC[C@]3(C)C(=CCC4[C@@]5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(C)C5CC[C@]43C)C2C1,0.0
O=c1oc2ccccc2cc1O,0.0
NCCNc1ccc(NCCN)c2c1C(=O)c1ccncc1C2=O,0.0
CC(CN(C)C)CN1c2ccccc2CCc2ccccc21,1.0
CCCCC[C@H](O)/C=C/C=C\CCCCCCCC(=O)O,0.0
CC(=O)NCCC=O,0.0
COc1cc(/C=C/C(=O)OC2C[C@]3(C)C(CC[C@@]4(C)C3CC=C3C5C(C)C(C)CC[C@@]5(C(=O)O)CC[C@@]34C)C(C)(C)C2O)ccc1O,0.0
CC(C)C(N)C(=O)NC(CC(N)=O)C(=O)O,0.0
